No.,Ticker,Company,Sector,Industry,Country,P/E,Dividend Yield,Institutional Ownership,Institutional Transactions,Performance (Week),Performance (Month),Performance (Quarter),Performance (Year),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,52-Week High,52-Week Low,Relative Strength Index (14),Price,Change,Volume
11,ATW,"Atwood Oceanics, Inc.",Basic Materials,Oil & Gas Drilling & Exploration,USA,2.86,,91.30%,0.10%,-0.67%,-25.41%,23.25%,67.58%,-7.95%,-17.71%,-0.85%,-32.40%,79.76%,39.15,10.39,-4.42%,5053049
12,BHI,Baker Hughes Incorporated,Basic Materials,Oil & Gas Equipment & Services,USA,,1.14%,93.50%,1.71%,-2.29%,-5.72%,-2.61%,40.64%,-2.81%,-4.97%,11.80%,-12.58%,58.79%,30.37,59.8,-0.28%,2726053
13,BRS,Bristow Group Inc.,Basic Materials,Oil & Gas Equipment & Services,USA,,1.75%,96.30%,-9.91%,-7.30%,-17.11%,7.41%,17.13%,-10.30%,-16.46%,10.46%,-31.27%,76.27%,34.8,15.99,-4.88%,673068
14,CDE,"Coeur Mining, Inc.",Basic Materials,Silver,USA,26.68,,68.90%,5.99%,-4.16%,-23.45%,-15.46%,149.29%,-15.56%,-14.96%,-21.37%,-46.68%,160.42%,35.43,8.75,-1.35%,3653553
15,CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Chemicals,USA,,3.85%,94.60%,5.02%,-7.07%,-14.04%,10.64%,-1.88%,-10.61%,-5.47%,14.67%,-15.50%,55.12%,36.35,31.15,-2.11%,5694296
16,CHK,Chesapeake Energy Corporation,Basic Materials,Independent Oil & Gas,USA,,,70.30%,5.05%,-6.91%,-20.62%,-12.11%,121.09%,-10.69%,-16.58%,-3.80%,-30.98%,140.85%,26.4,5.66,-1.57%,58721741
17,CKH,Seacor Holdings Inc.,Basic Materials,Oil & Gas Equipment & Services,USA,,,98.50%,-3.29%,-1.87%,-6.46%,17.48%,58.70%,-4.03%,-3.48%,14.34%,-8.32%,64.29%,39.52,69.97,-0.41%,56289
18,CLD,Cloud Peak Energy Inc.,Basic Materials,Industrial Metals & Minerals,USA,15.12,,84.40%,18.74%,-18.24%,-7.59%,-8.26%,247.62%,-9.86%,-9.53%,16.71%,-36.44%,267.63%,39.67,5.11,-0.39%,3146533
19,CMC,Commercial Metals Company,Basic Materials,Steel & Iron,USA,43.86,2.35%,91.10%,0.13%,-11.25%,-4.31%,-7.31%,47.59%,-5.39%,-5.67%,12.36%,-16.57%,55.34%,39.43,20.44,-0.58%,1752763
20,CMP,"Compass Minerals International, Inc.",Basic Materials,Industrial Metals & Minerals,USA,15.73,3.80%,94.60%,1.26%,-4.06%,-8.35%,-3.26%,14.83%,-5.72%,-5.77%,0.61%,-10.31%,17.30%,24.91,75.7,0.07%,513463
21,CNQ,Canadian Natural Resources Limited,Basic Materials,Independent Oil & Gas,Canada,,2.64%,66.60%,-2.93%,-5.04%,-5.88%,-11.51%,49.30%,-4.00%,-7.70%,-6.66%,-18.34%,54.95%,38.15,28.81,-2.01%,3804535
22,CNX,CONSOL Energy Inc.,Basic Materials,Independent Oil & Gas,USA,,0.25%,84.70%,2.18%,-7.34%,-19.24%,-19.74%,106.27%,-8.96%,-13.32%,-10.05%,-29.36%,117.36%,28.03,15.78,-3.43%,4125344
23,COP,ConocoPhillips,Basic Materials,Independent Oil & Gas,USA,,2.25%,68.30%,3.07%,-2.69%,-6.70%,2.65%,45.57%,-3.77%,-5.78%,5.74%,-11.06%,51.24%,37.66,47.04,-0.55%,6717556
24,CPE,Callon Petroleum Company,Basic Materials,Independent Oil & Gas,USA,,,90.40%,35.86%,-8.62%,-13.00%,-16.35%,119.73%,-9.18%,-13.07%,-4.37%,-28.49%,132.46%,29.92,13.25,-3.57%,5194468
25,CRK,"Comstock Resources, Inc.",Basic Materials,Independent Oil & Gas,USA,,,59.60%,36.67%,-15.91%,-13.58%,-1.20%,117.83%,-22.59%,-15.64%,22.08%,-32.64%,242.42%,30.54,9.04,-11.63%,1013318
26,CRZO,"Carrizo Oil & Gas, Inc.",Basic Materials,Independent Oil & Gas,USA,,,88.30%,2.43%,-4.91%,-13.02%,-18.91%,54.25%,-7.54%,-12.78%,-14.25%,-27.82%,63.14%,32.19,31.73,-3.94%,2727632
27,CVE,Cenovus Energy Inc.,Basic Materials,Oil & Gas Drilling & Exploration,Canada,,1.16%,73.10%,0.76%,-6.71%,-9.89%,-13.96%,22.89%,-4.98%,-10.87%,-11.25%,-23.07%,29.14%,34.04,12.94,-4.01%,2424132
28,CVX,Chevron Corporation,Basic Materials,Major Integrated Oil & Gas,USA,,3.92%,64.90%,1.49%,-0.51%,-5.17%,0.50%,34.43%,-1.27%,-3.52%,5.60%,-6.58%,38.32%,39.36,110.12,-0.81%,6168946
29,DDC,Dominion Diamond Corporation,Basic Materials,Nonmetallic Mineral Mining,Canada,,4.56%,66.80%,-3.20%,-15.35%,-16.56%,0.57%,-10.92%,-13.16%,-11.51%,-5.92%,-27.82%,13.20%,26.8,8.77,-2.56%,365398
30,DVN,Devon Energy Corporation,Basic Materials,Independent Oil & Gas,USA,,0.56%,79.70%,0.98%,-2.95%,-7.86%,-3.63%,122.19%,-5.13%,-7.29%,2.73%,-15.44%,138.53%,37.5,42.81,-2.68%,4566394
31,EEP,"Enbridge Energy Partners, L.P.",Basic Materials,Oil & Gas Pipelines,USA,,12.88%,79.10%,-0.90%,-0.93%,-27.40%,-23.18%,25.70%,-4.13%,-18.40%,-18.64%,-28.79%,32.99%,28.54,18.09,-0.93%,892136
32,EEQ,"Enbridge Energy Management, L.L.C.",Basic Materials,Independent Oil & Gas,USA,,,93.00%,5.03%,-1.17%,-31.39%,-27.10%,15.02%,-5.37%,-22.16%,-22.51%,-32.87%,21.71%,21.6,17.81,-0.34%,402129
33,EGN,Energen Corporation,Basic Materials,Independent Oil & Gas,USA,,,92.70%,-1.17%,-7.46%,-5.79%,-11.25%,104.71%,-4.91%,-8.27%,-2.69%,-19.69%,119.09%,35.59,51.75,-1.90%,1174821
34,ECA,Encana Corporation,Basic Materials,Major Integrated Oil & Gas,Canada,,0.54%,67.20%,0.00%,-9.98%,-18.56%,-8.02%,200.59%,-10.23%,-11.11%,10.01%,-19.21%,261.29%,32.04,11.19,-1.76%,9047486
35,EOG,"EOG Resources, Inc.",Basic Materials,Independent Oil & Gas,USA,,0.70%,88.40%,0.91%,-3.86%,-7.31%,1.24%,41.64%,-3.90%,-5.93%,4.64%,-11.81%,55.16%,34.68,96.3,-1.30%,3585102
36,EQT,EQT Corporation,Basic Materials,Independent Oil & Gas,USA,,0.20%,95.20%,3.79%,-3.71%,-6.47%,-13.75%,6.88%,-4.49%,-6.55%,-14.02%,-25.54%,10.75%,38.61,59.94,-1.40%,1493243
37,FCX,Freeport-McMoRan Inc.,Basic Materials,Copper,USA,,,79.20%,4.91%,-12.08%,-19.70%,-12.37%,86.10%,-14.89%,-12.05%,5.73%,-22.33%,102.29%,30.61,13.25,-1.71%,27373370
38,FMSA,Fairmount Santrol Holdings Inc.,Basic Materials,Industrial Metals & Minerals,USA,,,75.70%,34.96%,-16.06%,-23.44%,12.97%,425.40%,-18.58%,-15.29%,15.08%,-24.31%,492.48%,31.04,9.93,-8.06%,11031814
39,GEL,"Genesis Energy, L.P.",Basic Materials,Oil & Gas Pipelines,USA,33.45,8.47%,74.10%,2.47%,-6.16%,-7.55%,-0.75%,52.51%,-6.51%,-4.78%,-4.01%,-13.26%,65.93%,35.77,33.52,-1.79%,457463
40,GEOS,Geospace Technologies Corporation,Basic Materials,Oil & Gas Equipment & Services,USA,,,98.80%,1.79%,-7.45%,-22.31%,-16.42%,76.89%,-15.16%,-17.55%,-6.52%,-27.12%,92.21%,29.42,17.76,-0.56%,41588
41,GIFI,"Gulf Island Fabrication, Inc.",Basic Materials,Oil & Gas Equipment & Services,USA,,0.35%,72.50%,4.93%,-13.69%,-14.34%,4.13%,26.14%,-15.27%,-12.52%,16.81%,-18.64%,79.41%,30.93,11.35,-13.03%,122797
42,GPOR,Gulfport Energy Corp.,Basic Materials,Independent Oil & Gas,USA,,,97.90%,21.77%,-8.07%,-17.22%,-29.33%,-23.45%,-11.34%,-15.73%,-32.21%,-47.74%,-0.66%,23.01,18.12,-2.79%,3869493
43,HAL,Halliburton Company,Basic Materials,Oil & Gas Equipment & Services,USA,,1.36%,82.00%,1.36%,-2.65%,-7.91%,6.43%,65.50%,-5.11%,-4.41%,11.46%,-10.05%,71.58%,35.66,52.87,-0.60%,6455098
44,HES,Hess Corporation,Basic Materials,Independent Oil & Gas,USA,,1.91%,86.70%,1.29%,2.32%,-7.03%,0.15%,28.62%,-0.67%,-9.46%,-4.37%,-19.62%,33.86%,39.38,52.49,-0.06%,3090258
45,HL,Hecla Mining Company,Basic Materials,Silver,USA,,0.17%,57.10%,0.12%,-10.20%,-6.35%,-5.75%,133.85%,-8.85%,-2.05%,2.85%,-22.74%,142.48%,39.04,5.9,-2.80%,8545394
46,HNRG,Hallador Energy Company,Basic Materials,Nonmetallic Mineral Mining,USA,15.08,1.87%,62.10%,3.82%,-9.14%,-6.96%,-3.61%,97.00%,-9.22%,-7.17%,19.21%,-17.79%,116.46%,33.51,8.55,-1.04%,230109
47,HP,"Helmerich & Payne, Inc.",Basic Materials,Oil & Gas Drilling & Exploration,USA,,4.15%,99.50%,-4.41%,-1.40%,-15.90%,-1.80%,37.04%,-2.77%,-9.82%,2.27%,-20.47%,43.92%,38.59,67.53,-1.80%,2064904
48,HWKN,"Hawkins, Inc.",Basic Materials,Specialty Chemicals,USA,22.72,1.68%,59.80%,-0.02%,-1.58%,-8.78%,3.63%,62.54%,-3.20%,-5.25%,9.66%,-8.94%,63.45%,39.64,49.9,-0.99%,8992
49,ICD,"Independence Contract Drilling, Inc.",Basic Materials,Oil & Gas Drilling & Exploration,USA,,,81.60%,5.17%,-5.40%,-21.43%,7.27%,42.75%,-8.33%,-12.93%,3.99%,-23.15%,52.45%,33.22,5.61,-1.41%,195023
50,INT,World Fuel Services Corporation,Basic Materials,Oil & Gas Refining & Marketing,USA,20.13,0.66%,95.50%,2.38%,-5.83%,-19.20%,-17.40%,-20.53%,-15.04%,-17.88%,-18.92%,-28.20%,-0.82%,18.05,36.48,-1.75%,1599098
51,JPEP,JP Energy Partners LP,Basic Materials,Oil & Gas Pipelines,USA,,14.44%,64.40%,9.18%,-4.26%,-10.65%,14.72%,165.92%,-6.81%,-6.28%,14.54%,-12.17%,178.68%,34.59,9,-1.75%,42263
52,KALU,Kaiser Aluminum Corporation,Basic Materials,Aluminum,USA,17.22,2.60%,96.60%,-3.73%,-6.55%,-3.15%,-5.68%,2.94%,-4.62%,-3.65%,-6.26%,-18.11%,12.02%,38.95,76.85,1.08%,231869
53,KMI,"Kinder Morgan, Inc.",Basic Materials,Oil & Gas Pipelines,USA,85.65,2.35%,58.20%,2.19%,-2.52%,-5.49%,-2.42%,22.65%,-4.44%,-2.48%,3.51%,-8.02%,30.20%,37.64,21.24,-1.39%,12498168
54,KOS,Kosmos Energy Ltd.,Basic Materials,Independent Oil & Gas,Bermuda,,,70.40%,0.28%,-0.50%,-5.22%,19.09%,34.61%,-4.71%,-7.60%,2.71%,-18.94%,43.99%,33.19,5.99,-0.33%,3156505
55,MDR,"McDermott International, Inc.",Basic Materials,Oil & Gas Equipment & Services,USA,178.33,,84.20%,-0.30%,-6.61%,-8.55%,17.77%,152.19%,-6.68%,-3.42%,28.52%,-10.08%,177.41%,36.37,7.49,-2.47%,3109520
56,MRO,Marathon Oil Corporation,Basic Materials,Independent Oil & Gas,USA,,1.27%,84.10%,-0.01%,-2.72%,-11.11%,-4.66%,115.84%,-4.17%,-8.83%,2.98%,-18.16%,139.50%,37.26,15.73,-1.56%,12119355
57,MTDR,Matador Resources Company,Basic Materials,Independent Oil & Gas,USA,,,86.90%,6.96%,-9.08%,-9.15%,-4.91%,53.30%,-8.60%,-6.29%,4.11%,-14.35%,74.18%,36.44,24.42,-3.48%,1875054
58,MTRN,Materion Corporation,Basic Materials,Industrial Metals & Minerals,USA,27.91,1.07%,93.30%,-0.68%,-8.04%,-11.71%,-9.00%,44.25%,-7.42%,-9.55%,12.64%,-13.81%,59.93%,32.58,35.45,0.85%,96973
59,MTRX,Matrix Service Company,Basic Materials,Oil & Gas Equipment & Services,USA,15.82,,92.70%,0.96%,-2.65%,-26.44%,-17.04%,-3.72%,-15.97%,-22.22%,-11.06%,-29.42%,17.63%,24.59,16.55,-0.90%,189785
60,NBL,"Noble Energy, Inc.",Basic Materials,Independent Oil & Gas,USA,,1.09%,97.40%,1.85%,-1.16%,-7.33%,3.11%,22.89%,-4.77%,-5.51%,1.03%,-12.27%,33.53%,37.53,36.78,-1.71%,3661469
61,NBR,Nabors Industries Ltd.,Basic Materials,Oil & Gas Drilling & Exploration,Bermuda,,1.64%,76.40%,1.77%,-5.00%,-15.05%,3.62%,116.53%,-7.30%,-11.21%,19.32%,-20.54%,140.20%,32.22,14.62,-3.18%,6878247
62,NFX,Newfield Exploration Company,Basic Materials,Independent Oil & Gas,USA,,,98.40%,-1.88%,-12.81%,-13.55%,-11.28%,50.51%,-10.43%,-12.86%,-13.41%,-26.52%,64.53%,32.9,36.74,-2.91%,4268081
63,NGS,"Natural Gas Services Group, Inc.",Basic Materials,Oil & Gas Equipment & Services,USA,39.99,,94.00%,-0.11%,-5.48%,-14.13%,-8.70%,52.51%,-6.34%,-11.95%,3.27%,-22.46%,57.54%,30.83,26.75,-1.83%,30132
64,NWPX,Northwest Pipe Company,Basic Materials,Steel & Iron,USA,,,81.00%,4.91%,-3.61%,-7.36%,-1.81%,78.70%,-5.12%,-0.02%,31.38%,-8.59%,113.50%,39.54,17.87,0.34%,24657
65,OXY,Occidental Petroleum Corporation,Basic Materials,Independent Oil & Gas,USA,,4.68%,84.00%,0.58%,-2.33%,-4.76%,-5.33%,-2.92%,-3.83%,-6.51%,-9.46%,-15.79%,1.91%,31.25,64.89,-0.55%,5271282
66,PE,"Parsley Energy, Inc.",Basic Materials,Independent Oil & Gas,USA,,,68.60%,-1.49%,-7.44%,-18.69%,-17.63%,64.20%,-11.07%,-15.61%,-8.46%,-25.94%,87.95%,22.78,29.49,-1.70%,10009454
67,PES,Pioneer Energy Services Corp.,Basic Materials,Oil & Gas Drilling & Exploration,USA,,,81.20%,26.79%,-16.15%,-13.49%,23.86%,339.52%,-12.31%,-13.48%,20.17%,-24.31%,386.61%,35.21,5.45,-3.54%,1175904
68,PHX,Panhandle Oil and Gas Inc.,Basic Materials,Independent Oil & Gas,USA,,0.80%,53.60%,3.09%,-2.68%,-11.92%,-18.87%,32.35%,-4.68%,-10.80%,5.55%,-27.66%,40.85%,35.17,20,-2.68%,17450
69,POT,Potash Corporation of Saskatchewan Inc.,Basic Materials,Agricultural Chemicals,Canada,44.68,2.24%,81.40%,3.48%,-4.44%,-10.02%,0.43%,11.51%,-4.66%,-3.90%,5.02%,-11.84%,21.06%,37.76,17.87,-1.11%,6169204
70,PSX,Phillips 66,Basic Materials,Oil & Gas Refining & Marketing,USA,20.43,3.23%,70.90%,-0.23%,-0.60%,-7.47%,-7.34%,2.25%,-1.97%,-5.84%,-1.59%,-11.50%,8.44%,32.69,78.03,-0.74%,2221508
71,QEP,"QEP Resources, Inc.",Basic Materials,Oil & Gas Pipelines,USA,,0.57%,93.00%,0.41%,-17.55%,-24.18%,-23.39%,32.30%,-17.89%,-22.02%,-22.86%,-33.48%,53.22%,22.44,14.05,-4.16%,7550406
72,REGI,"Renewable Energy Group, Inc.",Basic Materials,Oil & Gas Refining & Marketing,USA,,,76.30%,4.98%,-4.26%,-5.87%,-12.24%,21.92%,-3.38%,-8.49%,-6.99%,-20.52%,28.82%,38.94,8.43,-3.16%,208433
73,RICE,Rice Energy Inc.,Basic Materials,Independent Oil & Gas,USA,,,93.70%,11.48%,-7.41%,-14.31%,-25.73%,110.63%,-10.12%,-11.14%,-18.96%,-36.58%,130.45%,32.05,18.62,-5.10%,8068181
74,RRC,Range Resources Corporation,Basic Materials,Independent Oil & Gas,USA,,0.29%,93.20%,3.57%,-11.52%,-18.30%,-22.40%,18.63%,-15.08%,-17.54%,-27.44%,-41.08%,27.71%,25.03,27.64,-4.49%,6972722
75,RSPP,"RSP Permian, Inc.",Basic Materials,Oil & Gas Drilling & Exploration,USA,,,99.20%,41.01%,-6.84%,-6.49%,-6.32%,74.96%,-5.27%,-7.85%,2.79%,-14.98%,109.95%,34.68,39.89,-1.16%,2087207
76,RYAM,Rayonier Advanced Materials Inc.,Basic Materials,Chemicals - Major Diversified,USA,7.94,2.27%,94.60%,-0.97%,-6.03%,-25.08%,-14.66%,80.70%,-10.18%,-17.95%,-8.88%,-29.17%,93.16%,28.12,12.31,-0.40%,543992
77,SD,"SandRidge Energy, Inc.",Basic Materials,Oil & Gas Drilling & Exploration,USA,,,94.10%,,-5.27%,-13.21%,-21.22%,,-7.89%,-13.93%,-16.66%,-29.76%,19.75%,29.77,18.86,-4.12%,330333
78,SLB,Schlumberger Limited,Basic Materials,Oil & Gas Equipment & Services,USA,,2.50%,81.30%,0.54%,-1.21%,-5.69%,-0.47%,13.56%,-1.94%,-4.20%,0.92%,-8.20%,16.71%,36.99,80.15,-0.40%,5450957
79,SLCA,"U.S. Silica Holdings, Inc.",Basic Materials,Industrial Metals & Minerals,USA,,0.49%,99.40%,24.17%,-10.81%,-13.52%,9.29%,212.68%,-11.40%,-9.54%,16.44%,-16.80%,280.81%,34.25,51.16,-4.07%,6650887
80,SWN,Southwestern Energy Company,Basic Materials,Independent Oil & Gas,USA,,,98.00%,-3.50%,-14.63%,-23.52%,-33.54%,8.57%,-18.36%,-25.00%,-39.51%,-52.85%,38.68%,21.79,7.35,-11.98%,39792405
81,SYNL,Synalloy Corporation,Basic Materials,Steel & Iron,USA,,2.74%,57.80%,4.39%,-7.20%,-5.60%,8.42%,38.41%,-7.89%,-3.73%,18.96%,-11.69%,66.92%,35.66,10.95,-0.49%,9641
82,SYRG,Synergy Resources Corporation,Basic Materials,Oil & Gas Equipment & Services,USA,,,84.50%,5.14%,-3.18%,-6.92%,-4.65%,35.03%,-5.20%,-7.61%,10.40%,-20.91%,53.75%,37.55,8.21,-3.41%,3147255
83,TECK,Teck Resources Limited,Basic Materials,Industrial Metals & Minerals,Canada,15.01,0.34%,73.70%,2.91%,-2.22%,-21.07%,-18.71%,266.65%,-12.64%,-9.06%,14.31%,-21.98%,302.82%,37.9,20.72,-0.43%,5045422
84,TRGP,Targa Resources Corp.,Basic Materials,Oil & Gas Pipelines,USA,,6.46%,78.60%,1.82%,-3.67%,-3.68%,10.50%,152.44%,-4.11%,-1.77%,20.63%,-8.81%,213.45%,38.32,56.38,0.27%,1850268
85,WPX,"WPX Energy, Inc.",Basic Materials,Independent Oil & Gas,USA,,,96.70%,-2.49%,-5.88%,-7.38%,-2.95%,229.31%,-6.56%,-9.39%,6.52%,-20.78%,264.96%,35.81,12.81,-4.12%,6331612
86,XEC,Cimarex Energy Co.,Basic Materials,Independent Oil & Gas,USA,,0.25%,93.80%,0.73%,-5.28%,-9.87%,-2.81%,49.48%,-4.99%,-7.34%,-1.64%,-14.19%,55.84%,34.84,126.03,-1.21%,893884
87,WLB,Westmoreland Coal Company,Basic Materials,Nonmetallic Mineral Mining,USA,,,72.30%,7.03%,-13.12%,-17.92%,-0.92%,192.10%,-13.74%,-14.12%,26.24%,-23.90%,213.22%,24.85,15.16,-2.13%,416769
88,XOM,Exxon Mobil Corporation,Basic Materials,Major Integrated Oil & Gas,USA,43.2,3.70%,53.00%,1.02%,-1.48%,-4.12%,-5.61%,2.36%,-1.87%,-5.48%,-6.10%,-12.87%,5.37%,34.4,81.08,-0.86%,11298051
89,REX,REX American Resources Corporation,Conglomerates,Conglomerates,USA,22.56,,94.00%,-1.88%,-4.56%,-8.62%,-9.09%,58.90%,-3.77%,-11.42%,3.53%,-21.53%,66.70%,26.92,80.5,-1.85%,35392
90,PICO,"PICO Holdings, Inc.",Conglomerates,Conglomerates,USA,,,93.90%,-0.40%,-1.80%,-8.08%,-8.70%,66.06%,-2.80%,-6.59%,14.40%,-15.74%,71.27%,38.38,13.65,-0.36%,47190
91,IEP,Icahn Enterprises L.P.,Conglomerates,Conglomerates,USA,,10.91%,97.10%,1.93%,-2.50%,-7.88%,-3.65%,18.01%,-4.83%,-7.65%,3.71%,-15.15%,24.95%,33.73,54.98,0.75%,100060
92,ICON,"Iconix Brand Group, Inc.",Consumer Goods,Textile - Apparel Footwear & Accessories,USA,,,93.20%,5.60%,-13.09%,-23.44%,-17.52%,-2.29%,-14.91%,-15.89%,-3.49%,-25.00%,29.39%,27.08,8.1,-5.70%,2042439
93,KNL,"Knoll, Inc.",Consumer Goods,Business Equipment,USA,13.37,2.67%,97.10%,-0.87%,-1.01%,-17.40%,-14.51%,22.43%,-10.40%,-15.11%,-8.85%,-20.95%,23.94%,27.89,22.45,-0.71%,423153
94,LBY,Libbey Inc.,Consumer Goods,Home Furnishings & Fixtures,USA,8,2.89%,87.90%,-2.14%,-9.07%,-10.37%,-15.23%,-2.46%,-7.09%,-11.66%,-7.08%,-21.72%,10.59%,28.78,16.25,-5.36%,86705
95,LCUT,"Lifetime Brands, Inc.",Consumer Goods,Housewares & Accessories,USA,18.05,1.15%,69.50%,1.92%,1.72%,-6.68%,-11.16%,26.96%,-0.04%,-9.05%,-0.94%,-23.56%,29.72%,39.65,14.75,0.34%,17604
96,LDL,"Lydall, Inc.",Consumer Goods,Auto Parts,USA,22.84,,92.20%,0.47%,-15.17%,-18.04%,-15.45%,87.20%,-15.17%,-16.50%,1.23%,-21.51%,93.17%,24.45,50.9,-0.97%,155761
97,LTRPA,"Liberty TripAdvisor Holdings, Inc.",Consumer Goods,"Recreational Goods, Other",USA,,,96.60%,0.72%,-9.03%,-20.79%,-16.57%,-29.61%,-17.10%,-15.59%,-29.57%,-42.78%,-0.35%,27.79,14.1,-0.70%,1072227
98,LZB,La-Z-Boy Incorporated,Consumer Goods,Home Furnishings & Fixtures,USA,17.02,1.64%,87.30%,-2.04%,-8.38%,-11.40%,-2.73%,12.09%,-6.89%,-10.50%,-2.62%,-18.54%,21.75%,32.88,26.8,0.37%,948636
99,NP,"Neenah Paper, Inc.",Consumer Goods,Paper & Paper Products,USA,17.97,1.95%,89.20%,-1.12%,-0.85%,-10.99%,-10.67%,27.69%,-5.57%,-8.68%,-2.27%,-15.55%,30.92%,30.25,75.85,-0.07%,107852
100,NC,"NACCO Industries, Inc.",Consumer Goods,Home Furnishings & Fixtures,USA,18.73,1.67%,69.10%,4.06%,-3.54%,-16.71%,-32.99%,27.50%,-7.17%,-19.94%,-8.19%,-35.48%,39.40%,27.06,64.05,1.91%,23993
101,MOD,Modine Manufacturing Company,Consumer Goods,Auto Parts,USA,39.66,,83.90%,1.49%,4.46%,-13.33%,-6.02%,27.31%,-4.72%,-14.56%,1.76%,-28.44%,38.46%,36.28,11.7,2.18%,418637
102,NAV,Navistar International Corporation,Consumer Goods,Trucks & Other Vehicles,USA,,,84.60%,-1.47%,-1.55%,-10.80%,-12.12%,249.67%,-2.98%,-8.55%,28.75%,-20.26%,277.37%,38.5,26.68,0.72%,297302
103,MLHR,"Herman Miller, Inc.",Consumer Goods,Business Equipment,USA,13.4,2.25%,87.60%,1.36%,-0.66%,-4.13%,-10.59%,17.77%,-2.10%,-6.16%,-4.27%,-17.15%,21.75%,39.56,30.2,-0.33%,389052
104,KORS,Michael Kors Holdings Limited,Consumer Goods,Textile - Apparel Clothing,United Kingdom,8.46,,95.40%,-3.97%,-2.38%,-12.85%,-22.73%,-33.95%,-5.31%,-11.08%,-20.42%,-37.30%,6.82%,33.69,37.3,0.05%,2636563
105,RL,Ralph Lauren Corporation,Consumer Goods,Textile - Apparel Clothing,USA,45.39,2.52%,97.80%,3.32%,0.94%,-13.10%,-29.93%,-11.95%,-1.75%,-8.91%,-17.15%,-30.13%,4.75%,39.06,79.21,0.71%,1074606
106,SPWH,"Sportsman's Warehouse Holdings, Inc.",Consumer Goods,Sporting Goods,USA,7.09,,81.60%,1.24%,-2.12%,-37.85%,-44.31%,-60.11%,-19.79%,-36.04%,-44.52%,-64.11%,2.21%,20.47,5.09,-0.39%,383897
107,STRT,STRATTEC Security Corporation,Consumer Goods,Auto Parts,USA,24.88,1.86%,87.90%,0.12%,-3.22%,-26.08%,-23.92%,-42.36%,-3.16%,-20.22%,-25.57%,-50.23%,8.09%,34.77,30.05,1.18%,10785
108,SWM,"Schweitzer-Mauduit International, Inc.",Consumer Goods,Paper & Paper Products,USA,14.57,4.04%,86.80%,1.87%,-2.67%,-10.36%,-2.44%,40.43%,-5.05%,-6.60%,6.81%,-11.51%,48.03%,34.93,41.6,0.17%,114283
