No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Performance (Week),Performance (Month),Performance (Quarter),Performance (Year),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,52-Week High,52-Week Low,Relative Strength Index (14),Price,Change,Volume
44,FL,"Foot Locker, Inc.",Consumer Goods,Textile - Apparel Footwear & Accessories,USA,9203.66,15.03,-1.23%,-8.30%,2.06%,16.97%,-3.29%,-3.51%,9.63%,-11.87%,38.73%,37.8,69.73,-1.16%,1823900
45,SENEA,Seneca Foods Corporation,Consumer Goods,Processed & Packaged Goods,USA,386.46,7.47,-3.54%,-7.96%,29.98%,39.69%,-4.90%,0.84%,12.17%,-10.55%,41.82%,39.77,38.15,0.13%,22445
46,SGC,"Superior Uniform Group, Inc.",Consumer Goods,Textile - Apparel Clothing,USA,243.91,19.72,-0.34%,-12.60%,-5.89%,10.82%,-7.01%,-7.24%,-4.96%,-17.17%,26.99%,35.76,17.41,-1.36%,11235
47,VFC,V.F. Corporation,Consumer Goods,Textile - Apparel Clothing,USA,21780.96,18.1,-1.49%,-5.04%,-3.79%,-2.75%,-2.31%,-4.72%,-11.27%,-20.54%,2.41%,38.85,52.14,1.58%,4253300
48,KODK,Eastman Kodak Company,Consumer Goods,Electronic Equipment,USA,622.78,10.83,-3.27%,-8.36%,6.02%,70.11%,-7.20%,-5.08%,0.61%,-14.43%,95.77%,37.34,14.8,-2.31%,104415
49,KOF,"Coca-Cola FEMSA, S.A.B. de C.V.",Consumer Goods,Beverages - Soft Drinks,Mexico,4199.06,28.34,-0.34%,-5.54%,-23.12%,-4.22%,-2.90%,-5.76%,-18.76%,-29.64%,2.28%,38.32,60.9,0.59%,98400
50,SCSS,Select Comfort Corporation,Consumer Goods,Home Furnishings & Fixtures,USA,953.22,49.09,-4.67%,-9.52%,0.67%,5.79%,-7.32%,-5.83%,-7.31%,-25.86%,47.13%,35.31,21.01,0.10%,446300
51,SUP,"Superior Industries International, Inc.",Consumer Goods,Auto Parts,USA,614.64,15.05,-5.61%,-8.33%,-13.31%,47.17%,-7.19%,-4.36%,-8.39%,-23.04%,53.47%,35.07,24.4,-0.20%,171000
52,MGPI,"MGP Ingredients, Inc.",Consumer Goods,Beverages - Wineries & Distillers,USA,739.46,26.22,-8.02%,-8.43%,8.12%,111.34%,-8.84%,-4.82%,18.10%,-15.69%,126.42%,34.78,44.87,0.36%,268600
53,CLW,Clearwater Paper Corporation,Consumer Goods,Paper & Paper Products,USA,1020.31,20.81,0.00%,-4.49%,-6.05%,53.17%,-5.75%,-1.62%,0.57%,-11.61%,92.66%,39.9,61.65,-1.99%,36400
54,ETH,Ethan Allen Interiors Inc.,Consumer Goods,Home Furnishings & Fixtures,USA,868.08,16.37,-7.93%,-12.24%,8.29%,34.71%,-10.98%,-8.13%,-2.95%,-17.22%,45.38%,32.9,31.95,0.79%,241000
55,APFH,"AdvancePierre Foods Holdings, Inc.",Consumer Goods,Processed & Packaged Goods,USA,2083.55,16.29,-4.36%,-4.08%,-2.63%,,-5.81%,-2.21%,2.33%,-9.54%,18.76%,37.56,27.01,-3.64%,492200
56,SPAR,"Spartan Motors, Inc.",Consumer Goods,Trucks & Other Vehicles,USA,290.79,,-5.52%,-7.07%,-7.38%,214.33%,-8.14%,-3.73%,10.35%,-18.05%,232.39%,38.38,8.55,-3.39%,69000
57,DTEA,DAVIDsTEA Inc.,Consumer Goods,Food - Major Diversified,Canada,174.33,23.62,0.74%,-3.52%,-44.71%,-33.30%,-1.40%,-20.23%,-40.62%,-52.10%,8.71%,36.62,6.85,1.48%,64300
58,HY,"Hyster-Yale Materials Handling, Inc.",Consumer Goods,Trucks & Other Vehicles,USA,1000.74,21.16,-0.60%,-6.62%,8.19%,34.26%,-3.67%,-2.94%,2.76%,-10.83%,41.61%,38.93,61.66,-1.86%,19600
59,NLS,"Nautilus, Inc.",Consumer Goods,Sporting Goods,USA,482.79,15.05,-5.93%,-16.14%,-23.72%,-10.10%,-13.09%,-10.69%,-18.79%,-36.57%,3.59%,32.93,15.85,-2.46%,341700
60,COKE,Coca-Cola Bottling Co. Consolidated,Consumer Goods,Beverages - Soft Drinks,USA,1545.4,62.98,-3.73%,-0.60%,18.99%,1.08%,-5.13%,0.25%,10.35%,-9.04%,39.63%,36.37,166.71,-1.99%,20800
61,HNI,HNI Corporation,Consumer Goods,Business Equipment,USA,2231.15,21.5,-1.61%,-5.34%,35.46%,66.97%,-6.91%,-2.39%,7.19%,-11.19%,73.79%,39.55,50.57,-3.66%,193200
62,ACAT,Arctic Cat Inc.,Consumer Goods,Recreational Vehicles,USA,178.27,,-7.52%,-15.53%,-6.70%,6.97%,-12.04%,-11.84%,-12.30%,-31.13%,53.37%,34.8,13.65,0.07%,79000
63,CSL,Carlisle Companies Incorporated,Consumer Goods,Rubber & Plastics,USA,6964.06,27.81,0.18%,-4.14%,3.72%,38.02%,-2.06%,-2.69%,3.48%,-6.88%,46.06%,37.63,108.39,-0.74%,335600
64,GIL,Gildan Activewear Inc.,Consumer Goods,Textile - Apparel Clothing,Canada,5939.02,17.53,-0.59%,-9.09%,-7.11%,-0.62%,-2.62%,-4.61%,-11.60%,-21.58%,13.20%,39.09,25.11,1.25%,787400
65,MLHR,"Herman Miller, Inc.",Consumer Goods,Business Equipment,USA,1882.56,13.94,0.80%,-8.59%,16.20%,28.13%,-6.38%,-3.91%,-0.04%,-13.85%,41.80%,39.47,31.4,-1.10%,380700
66,SPWH,"Sportsman's Warehouse Holdings, Inc.",Consumer Goods,Sporting Goods,USA,369.76,11.85,-5.34%,-8.20%,-18.02%,-33.15%,-8.39%,-6.50%,-13.24%,-40.00%,10.38%,37.07,8.51,1.67%,272600
67,CMT,"Core Molding Technologies, Inc.",Consumer Goods,Rubber & Plastics,USA,123.32,15.59,-3.55%,-7.08%,-15.96%,61.37%,-7.21%,-4.32%,5.97%,-19.77%,70.64%,36.5,15.75,-0.25%,10135
68,RL,Ralph Lauren Corporation,Consumer Goods,Textile - Apparel Clothing,USA,7368.85,38.93,2.67%,-11.47%,-7.63%,-9.08%,-0.54%,-10.19%,-7.50%,-20.99%,11.42%,37.22,89.58,3.78%,2392500
69,SNAK,"Inventure Foods, Inc.",Consumer Goods,Processed & Packaged Goods,USA,145.48,,-31.86%,-33.68%,-31.50%,22.58%,-31.51%,-28.20%,-23.12%,-36.35%,31.57%,17.61,6.46,1.57%,873484
70,TPX,"Tempur Sealy International, Inc.",Consumer Goods,Home Furnishings & Fixtures,USA,3763.2,30.46,-4.17%,-2.01%,24.54%,7.29%,-4.42%,0.87%,1.89%,-21.33%,28.11%,39.84,64.76,-0.72%,877700
71,VSTO,Vista Outdoor Inc.,Consumer Goods,Sporting Goods,USA,1729.81,9.55,-24.08%,-25.17%,-24.70%,-36.44%,-22.88%,-25.56%,-34.24%,-47.06%,1.82%,18.46,28.54,-0.56%,1644200
72,AMWD,American Woodmark Corporation,Consumer Goods,Home Furnishings & Fixtures,USA,1162.34,18.31,-4.75%,-8.67%,-7.25%,7.69%,-5.12%,-6.30%,-4.91%,-19.45%,26.49%,34.87,72.15,-3.61%,125600
73,ANDE,"The Andersons, Inc.",Consumer Goods,Farm Products,USA,1108.02,,-6.81%,-6.81%,4.74%,45.07%,-9.30%,-4.57%,6.64%,-14.41%,67.66%,37.7,38.3,-0.52%,125600
74,BSET,"Bassett Furniture Industries, Incorporated",Consumer Goods,Home Furnishings & Fixtures,USA,300.28,18.31,-7.06%,-8.75%,14.11%,11.94%,-7.55%,-4.31%,1.61%,-17.90%,23.35%,33.65,27.65,-1.25%,17221
75,OXM,"Oxford Industries, Inc.",Consumer Goods,Textile - Apparel Clothing,USA,935.77,15.3,-3.13%,-10.34%,-17.16%,-6.99%,-7.00%,-14.60%,-11.81%,-27.91%,6.53%,28.24,55.24,1.40%,186900
76,NP,"Neenah Paper, Inc.",Consumer Goods,Paper & Paper Products,USA,1384.27,20.03,-2.03%,-5.24%,3.12%,43.90%,-4.10%,-2.69%,8.82%,-8.84%,58.21%,36.36,82.25,-0.54%,95800
77,PLOW,"Douglas Dynamics, Inc.",Consumer Goods,Auto Parts,USA,705.8,16.41,-1.85%,-2.51%,0.49%,88.26%,-5.13%,-0.38%,13.71%,-8.63%,94.84%,39.9,31.75,-3.79%,62300
78,SRI,"Stoneridge, Inc.",Consumer Goods,Auto Parts,USA,466.7,13.49,-4.49%,-5.46%,-6.04%,49.20%,-5.60%,-0.06%,1.98%,-12.50%,59.85%,39.22,16.8,-3.61%,75900
79,MBUU,"Malibu Boats, Inc.",Consumer Goods,"Recreational Goods, Other",USA,308.35,17.26,-4.25%,-10.04%,23.56%,27.27%,-6.63%,-3.26%,15.68%,-12.59%,54.39%,36.18,17.57,-1.24%,49800
80,LMNR,Limoneira Company,Consumer Goods,Farm Products,USA,261.87,37.83,-12.27%,-5.81%,-7.72%,49.34%,-10.20%,-7.41%,0.25%,-16.62%,60.71%,31.84,18.16,-0.44%,42914
81,BG,Bunge Limited,Consumer Goods,Farm Products,USA,9585.86,15.56,-2.35%,-3.62%,16.49%,13.85%,-3.83%,-1.98%,8.57%,-7.45%,52.69%,38.82,68.49,-0.49%,1063800
82,UFAB,"Unique Fabricating, Inc.",Consumer Goods,Auto Parts,USA,127.2,21.97,-2.43%,-11.07%,10.42%,18.83%,-7.62%,-7.46%,-0.40%,-16.84%,46.73%,26.84,13.25,-1.85%,17579
83,UFPT,"UFP Technologies, Inc.",Consumer Goods,Packaging & Containers,USA,172.37,21.81,-2.78%,-2.98%,-6.25%,12.16%,-4.16%,-4.11%,0.69%,-11.09%,19.85%,37.03,24.45,-0.81%,98500
84,LBY,Libbey Inc.,Consumer Goods,Home Furnishings & Fixtures,USA,390.94,8.82,-4.23%,-8.25%,4.56%,16.53%,-6.93%,-4.17%,2.61%,-13.78%,24.78%,34.36,17.9,-0.89%,41200
85,LCUT,"Lifetime Brands, Inc.",Consumer Goods,Housewares & Accessories,USA,236.68,19.83,-2.11%,-13.37%,19.05%,43.10%,-7.98%,-4.45%,7.52%,-16.28%,45.26%,32.4,16.2,-1.22%,12600
86,LDL,"Lydall, Inc.",Consumer Goods,Auto Parts,USA,994.28,26.18,-3.87%,-5.66%,18.53%,107.87%,-6.10%,-1.69%,24.14%,-10.02%,129.63%,38.54,58.35,-3.15%,50000
87,MOV,"Movado Group, Inc.",Consumer Goods,"Recreational Goods, Other",USA,604.35,16.38,-2.03%,-15.02%,23.07%,19.88%,-6.93%,-4.18%,10.05%,-16.74%,40.40%,37.11,26.6,0.19%,80200
88,SAM,"The Boston Beer Company, Inc.",Consumer Goods,Beverages - Brewers,USA,1954.03,24.96,-2.70%,-7.32%,0.99%,-4.30%,-6.25%,-7.02%,-6.13%,-22.60%,8.02%,32.91,156.95,-1.04%,113500
89,MLR,"Miller Industries, Inc.",Consumer Goods,Auto Parts,USA,288.2,15.01,-2.29%,-5.89%,18.92%,29.79%,-4.58%,-0.81%,14.57%,-11.44%,39.18%,38.38,25.55,-1.54%,22900
90,UNF,UniFirst Corporation,Consumer Goods,Textile - Apparel Clothing,USA,2654.95,22.64,-1.39%,-9.32%,-0.25%,27.27%,-6.86%,-6.15%,5.63%,-11.38%,35.20%,24.72,130.85,-1.51%,93600
91,FIZZ,National Beverage Corp.,Consumer Goods,Beverages - Soft Drinks,USA,2159.46,26.37,-2.72%,-4.74%,-4.31%,21.21%,-7.03%,-6.33%,-9.33%,-28.30%,43.46%,33.6,46.41,-1.36%,168022
92,GSBC,"Great Southern Bancorp, Inc.",Financial,Regional - Southwest  Banks,USA,689.25,15.77,-3.46%,-7.26%,22.19%,28.10%,-6.89%,-1.32%,19.37%,-11.10%,46.96%,37.51,50.2,-4.20%,20100
93,FII,"Federated Investors, Inc.",Financial,Asset Management,USA,2757.06,13.9,-2.56%,-2.07%,2.81%,15.09%,-3.60%,-2.44%,-5.36%,-14.29%,27.57%,36.66,27.03,-2.38%,896200
94,WRLD,World Acceptance Corporation,Financial,Credit Services,USA,498.57,6.51,-12.04%,-10.65%,15.94%,65.87%,-11.17%,-5.18%,16.94%,-17.03%,112.54%,37.05,57.11,-3.76%,96400
95,WSBF,"Waterstone Financial, Inc.",Financial,Savings & Loans,USA,511.46,21.46,-3.32%,-7.43%,4.62%,27.37%,-5.69%,-3.91%,7.83%,-9.59%,31.20%,34.6,17.45,-2.24%,81289
96,NYCB,"New York Community Bancorp, Inc.",Financial,Savings & Loans,USA,7583.63,,-1.08%,-7.47%,13.45%,10.01%,-3.21%,-1.61%,5.18%,-11.76%,14.15%,39.67,15.6,-0.83%,3344000
97,NYMT,"New York Mortgage Trust, Inc.",Financial,REIT - Residential,USA,694.9,15.17,-3.48%,-5.21%,8.33%,37.28%,-5.01%,-3.42%,5.16%,-9.52%,66.75%,38.19,6.37,-6.32%,3024166
98,UMBF,UMB Financial Corporation,Financial,Regional - Southwest  Banks,USA,3535.24,24.45,-3.41%,-7.71%,19.63%,77.48%,-5.26%,-2.61%,19.16%,-10.85%,85.83%,36.59,72.31,-3.38%,146100
99,UMPQ,Umpqua Holdings Corporation,Financial,Regional - Pacific Banks,USA,3925.57,17.54,-3.39%,-2.99%,18.97%,31.61%,-4.74%,-0.04%,12.97%,-6.65%,39.04%,38.94,17.98,-4.06%,1396000
100,OB,"OneBeacon Insurance Group, Ltd.",Financial,Surety & Title Insurance,USA,1431.26,11.78,-1.17%,-2.07%,3.75%,34.23%,-3.34%,-1.53%,9.93%,-7.45%,37.91%,39.99,15.16,-1.43%,48000
101,HALL,"Hallmark Financial Services, Inc.",Financial,Property & Casualty Insurance,USA,203.81,15.2,-5.07%,-4.23%,6.05%,2.84%,-5.76%,-3.12%,0.37%,-10.09%,14.42%,33.07,10.87,-1.90%,20300
102,FMBH,"First Mid-Illinois Bancshares, Inc.",Financial,Regional - Midwest Banks,USA,391.37,15.89,-4.28%,-8.07%,18.72%,22.10%,-7.82%,-1.57%,17.07%,-14.92%,38.02%,37.75,31.31,-2.88%,10200
103,FNB,F.N.B. Corporation,Financial,Regional - Southeast Banks,USA,3174.2,20.05,-4.35%,-3.62%,24.25%,32.57%,-5.33%,-0.47%,15.49%,-7.73%,40.88%,38.75,15.16,-3.81%,2305600
104,FNBC,First NBC Bank Holding Company,Financial,Foreign Regional Banks,USA,112.51,,-11.19%,-17.36%,-44.44%,-80.63%,-13.99%,-17.60%,-55.86%,-81.67%,22.68%,34.85,5.95,-3.25%,426054
105,PUB,People's Utah Bancorp,Financial,Money Center Banks,USA,437.54,20.05,-3.97%,0.41%,25.83%,55.56%,-7.65%,0.68%,24.03%,-13.11%,73.00%,39.22,24.2,-3.59%,34600
106,INTL,INTL FCStone Inc.,Financial,Investment Brokerage - National,USA,673.99,12.78,-3.91%,-15.55%,-1.60%,33.88%,-7.84%,-7.79%,10.09%,-17.62%,51.75%,31.25,36.83,-3.91%,118300
107,BFIN,BankFinancial Corporation,Financial,Savings & Loans,USA,269.42,37.12,-4.70%,-3.01%,13.62%,21.00%,-4.52%,-0.96%,10.97%,-6.96%,25.77%,38.97,14.18,-2.48%,22900
108,CHFC,Chemical Financial Corporation,Financial,Regional - Midwest Banks,USA,3502.6,25.76,-3.44%,-5.61%,15.07%,61.96%,-6.90%,-2.97%,15.88%,-10.03%,74.36%,34.88,49.98,-5.39%,335900
109,LION,Fidelity Southern Corporation,Financial,Regional - Mid-Atlantic Banks,USA,585.19,22.67,-2.93%,-3.93%,22.16%,14.92%,-4.97%,-1.32%,22.08%,-8.20%,60.53%,38.72,22.49,-3.77%,116297
110,THG,"The Hanover Insurance Group, Inc.",Financial,Property & Casualty Insurance,USA,3547.5,14.77,-5.68%,-6.25%,6.34%,10.42%,-7.09%,-3.72%,1.34%,-9.22%,13.39%,25.7,83.51,-0.76%,329600
111,NAVI,Navient Corporation,Financial,Credit Services,USA,4888.7,6.49,-4.42%,-3.67%,14.44%,83.65%,-5.25%,-4.52%,12.94%,-11.32%,101.57%,37.19,15.77,-6.41%,3637300
112,IBOC,International Bancshares Corporation,Financial,Regional - Southwest  Banks,USA,2447.7,18.51,-4.12%,-8.48%,24.83%,67.34%,-8.38%,-3.98%,22.81%,-11.83%,80.93%,31.64,37.25,-3.75%,174300
113,JNS,"Janus Capital Group, Inc.",Financial,Asset Management,USA,2431.99,15.29,-3.39%,-2.02%,-7.06%,9.53%,-3.34%,-3.65%,-7.15%,-20.53%,22.09%,36.92,13.09,-1.21%,1586900
114,JOE,The St. Joe Company,Financial,Real Estate Development,USA,1289.85,121.33,-3.34%,-14.95%,-3.07%,11.08%,-9.76%,-10.92%,-4.92%,-20.78%,21.58%,20.76,17.35,-1.98%,148400
115,NSM,Nationstar Mortgage Holdings Inc.,Financial,Mortgage Investment,USA,1758.44,,-7.20%,-4.71%,20.33%,55.77%,-5.42%,-1.29%,21.70%,-11.63%,109.89%,39.88,17.4,-2.03%,318200
116,BANC,"Banc of California, Inc.",Financial,Regional - Pacific Banks,USA,795.5,8.8,-6.94%,0.31%,-2.42%,19.44%,-6.73%,1.94%,-12.49%,-30.71%,47.30%,38.97,16.1,-4.45%,910537
117,CCNE,CNB Financial Corporation,Financial,Regional - Northeast Banks,USA,358.39,17.3,-4.63%,-4.95%,29.44%,49.88%,-7.01%,1.28%,23.96%,-11.54%,52.33%,39.03,25.15,-3.45%,20729
118,FFG,"FBL Financial Group, Inc.",Financial,Life Insurance,USA,1824.27,16.44,-1.68%,-7.24%,13.87%,33.55%,-5.85%,-3.92%,12.31%,-11.16%,40.47%,36.09,73,-1.42%,30500
